"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"-Colt45-",1818.56212253,73,35,5.68552158872,5.75601578803,0.552899362706,96,96,130,141,0.116562414654803,0.125578918558719,0.106602327635757,0.143754506526745,0.172284197645936,0.325945760504043,0.132530124253702,0.311910602265699
"-Erikku-",771.175861878,35,14,4.57534120937,4.58152869255,0.800964827695,18,18,98,141,0.0849673202614379,0.0980392156862745,0.398692810457516,0.411764705882353,0.0722105279160228,0.0597048021215168,-0.00399915842633168,-0.0314280694554878
"-FLC-",2942.5129852,92,47,5.37568402995,5.46793647673,0.776507254108,24,25,175,184,-0.0689656308208596,-0.0966870169438056,-0.235935052808204,-0.18593657104578,0.140868417237647,0.257784225417251,0.197940663307329,0.201867961574668
"-HAnnez-",3229.37583891,151,63,5.44330508259,5.56023431595,0.7310809789,27,27,128,136,-0.0885717900896769,0.0202929241777714,0.0142857725951092,-0.0434848375237958,0.179421055857005,0.208064601982824,0.224769234809875,0.298452310381297
"-hopper-",2266.11028722,117,45,5.5504425202,5.76222753343,0.763230988936,93,94,126,137,0.0196583331400491,0.0532140045508111,-0.0290194441591202,-0.0040206136771724,-0.00533841996618559,-0.0265568829258611,0.0457578854244479,-0.139455708890875
"-mariechen-",753.428084071,41,16,5.76753115269,5.92828572826,0.596491570511,22,22,70,73,0.00867681000188266,0.0829702233998107,0.038961038961039,0.209154794246401,0.140161872692987,0.153624231635765,0.315986233704308,0.295175014172784
"-Samutin-",2833.22036519,119,44,4.85784454211,4.86371533253,0.951124364955,24,25,76,123,0.0800005289308654,0.0222277112237194,-0.072727753573514,0.0222277112237194,0.137688795223042,0.0425551420583446,0.00596805418888944,-0.0769133691816947
"-schuetzz-",230.674768866,8,6,5.41512025435,5.43114581214,0.682457986491,45,45,70,82,0.0598075919479881,-0.0368105086916155,0.30621529932601,0.0652422971926732,0.265065236580068,0.166078905107196,0.209937888198758,0.0743049212145088
"-xerces-",2045.10937388,89,32,5.2853659066,5.45503544356,0.884979356364,27,27,58,63,-0.00284900284900285,0.175293870037912,-0.133903133903134,0.0890837700192668,0.215561620536236,0.171169075539615,0.180992769237227,0.118325787316395
"-Zelgadis-",2930.07606829,109,49,5.34606366582,5.46793647673,0.757886150839,18,18,100,108,-0.0196078431372549,-0.131148245894106,-0.0196078431372549,0.0524592983576422,-0.124051432512808,0.0215538018468302,0.0428802904768649,0.0599543342897269
